V (V)	dV (V)	I (A)	dI (A)
0		-0.000000018	0.000000018
0.3		-0.000000018	0.000000018
0.6		-0.000000018	0.000000018
0.9		-0.000000018	0.000000018
1.2		0.000000018	0.000000018
1.25		0.000000073	1E-11
1.3		0.00000022	0.00000001
1.35		0.000000607	0.000000002
1.4		0.00000165	0.00000001
1.45		0.00000442	0.00000001
1.5		0.00001206	0.00000002
1.55		0.0000332	0.0000001
1.6		0.0000947	0.0000001
1.65		0.000285	0.000001
1.7		0.000891	0.000001
1.75		0.002492	0.000004
1.8		0.00566	0.00002
1.85		0.01068	0.00003
1.872		0.0153	0.0002
1.9		0.01783	0.0001
1.925		0.0234	0.0002
1.95		0.02749	0.00002
1.975		0.0328	0.00002
2		0.0385	0.0005
