V (V)	dV (V)	I (A)	dI (A)
0	0.0001	-0.0000002	0.0000001
0.3	0.0001	-0.0000002	0.0000001
0.6	0.0001	-0.0000002	0.0000001
0.9	0.0001	-0.0000005	0.0000001
1.2	0.0001	-0.0000004	0.0000001
1.5	0.0001	0.0000073	0.0000002
1.55	0.0001	0.000024	0.000001
1.6	0.0001	0.000075	0.000001
1.65	0.0001	0.000218	0.000001
1.7	0.0001	0.000574	0.000001
1.75	0.0001	0.001317	0.000002
1.8	0.0001	0.002539	0.000005
1.85	0.0001	0.00423	0.00001
1.9	0.0001	0.00638	0.00001
1.95	0.0001	0.00888	0.00001
2	0.0001	0.01171	0.00001
2.05	0.0001	0.01495	0.00002
2.1	0.0001	0.01837	0.00003
2.15	0.0001	0.02187	0.00003
2.2	0.0001	0.02563	0.00003
2.25	0.0001	0.02958	0.00003
2.3	0.0001	0.03382	0.00004

