V (V)	dV (V)	I (A)	dI (A)
0	0.0001	-0.0000004	0.0000001
0.3	0.0001	-0.0000003	0.0000001
0.6	0.0001	-0.0000003	0.0000001
0.9	0.0001	-0.0000003	0.0000001
1.2	0.0001	-0.0000004	0.0000001
1.5	0.0001	0.0000059	0.0000001
1.6	0.0001	0.0000521	0.000001
1.7	0.0001	0.000352	0.0000001
1.8	0.0001	0.0012677	0.0000003
1.9	0.0001	0.00273	0.000001
2	0.0001	0.0045	0.000001
2.1	0.0001	0.00659	0.00003
2.2	0.0001	0.008744	0.000003
2.3	0.0001	0.011048	0.000003
2.4	0.0001	0.01346	0.00001
2.5	0.0001	0.015965	0.000003
2.6	0.0001	0.018595	0.000005
2.7	0.0001	0.02126	0.00001
2.8	0.0001	0.02402	0.00001
2.9	0.0001	0.02684	0.00002
3	0.0001	0.02971	0.00001

