V (V)	dV (V)	I (A)	dI (A)
0		1.8E-11	1.8E-11
0.5		5E-12	5E-12
1		6E-10	1E-10
1.5		0.000000015	1E-10
2		0.00000029	0.000000001
2.5		0.00001185	0.00000001
2.55		0.00001762	0.00000001
2.6		0.00002676	0.00000002
2.65		0.00004035	0.0000001
2.7		0.00006155	0.00000003
2.75		0.0000926	0.0000001
2.8		0.0001384	0.0000005
2.85		0.000205	0.000001
2.9		0.000297	0.000001
2.95		0.000424	0.000001
3		0.000595	0.000001
3.05		0.000815	0.000001
3.1		0.001098	0.000002
3.15		0.001468	0.000001
3.2		0.001928	0.00002
3.25		0.00251	0.00001
3.3		0.00322	0.00001
3.35		0.00407	0.00001
3.4		0.00506	0.00001
3.45		0.00625	0.00002
3.5		0.00757	0.00002
