V (V)	dV (V)	I (A)	dI (A)
-10		-0.00000141	0.00000001
-9		-0.00000138	0.00000001
-8		-0.00000134	0.00000001
-7		-0.00000129	0.00000001
-6		-0.00000125	0.00000001
-5		-0.0000012	0.00000001
-4		-0.00000116	0.00000001
-3		-0.0000011	0.00000001
-2		-0.00000103	0.00000001
-1		-0.000000946	0.000000001
0		0.000000019	0.000000001
0.1		0.0000176	0.0000001
0.2		0.000188	0.000001
0.3		0.001292	0.000001
0.4		0.006328	0.00004
0.5		0.0209	0.0001
0.652		0.073	0.001
