V (V)	dV (V)	I (A)	dI (A)
0		-0.0000002	0.0000001
0.3		-0.0000002	0.0000001
0.6		-0.0000004	0.0000001
0.9		-0.0000005	0.0000001
1.2		-0.0000005	0.0000001
1.4		0.0000033	0.0000001
1.42		0.0000055	0.0000002
1.44		0.0000092	0.0000001
1.46		0.0000155	0.0000002
1.48		0.000024	0.000001
1.5		0.0000402	0.000001
1.52		0.000063	0.000001
1.54		0.000099	0.000001
1.56		0.000155	0.000001
1.58		0.000239	0.000001
1.6		0.000363	0.000001
1.62		0.000542	0.000001
1.64		0.00079	0.000001
1.66		0.00112	0.000001
1.68		0.001559	0.000003
1.7		0.002124	0.000002
1.72		0.002819	0.000002
1.74		0.003659	0.000004
1.76		0.00463	0.000001
1.78		0.00574	0.00001
1.8		0.00697	0.00001
1.82		0.00833	0.00001
1.84		0.00979	0.00002
1.86		0.01135	0.00002
1.88		0.01297	0.00002
1.9		0.01468	0.00002
1.92		0.01646	0.00002
1.94		0.018231	0.000002
1.96		0.02026	0.00002
1.98		0.02221	0.00002
2		0.02418	0.00002
