V (V)	dV (V)	I (A)	dI (A)
-6.864	0.0001	-0.0691	0.0001
-6.5	0.0001	-0.00000064	0.00000001
-6	0.0001	-0.000000138	2E-10
-5.5	0.0001	-0.000000045	0.000000001
-5	0.0001	1.72E-08	2E-10
-4.5	0.0001	-7.4E-09	1E-10
-4	0.0001	-3.3E-09	5E-10
-3	0.0001	-7.6E-10	2E-11
-2	0.0001	-1.7E-10	1E-11
-1	0.0001	-3E-11	3E-12
0	0.0001	0	0
0.2	0.0001	3.9E-10	1E-10
0.4	0.0001	0.000000234	0.000000002
0.6	0.0001	0.000234	0.000001
0.8	0.0001	0.0975	0.0005
1.006	0.0001	0.475	0.001

