V (V)	dV (V)	I (A)	dI (A)
0		-0.000000001	0.000000001
0.2		-8E-10	1E-10
0.4		0.000000001	2E-10
0.6		8.89E-08	5E-10
0.8		0.00000491	0.00000002
1		0.000303	0.000001
1.05		0.000913	0.000001
1.1		0.00293	0.00001
1.15		0.00841	0.00002
1.2		0.0192	0.0001
1.225		0.028	0.0001
1.25		0.0357	0.0002
1.275		0.0476	0.0003
1.3		0.0585	0.001
1.325		0.0726	0.0004
1.35		0.081	0.0005
1.4		0.09999	0.00001
