x-axis,1,2
second,Volt,Volt
-24.0000E-06,,
-23.5000E-06,,
-23.0000E-06,+13.9889448E-03,-3.8412055E-03
-22.5000E-06,+13.9889448E-03,-3.8412055E-03
-22.0000E-06,+13.9889448E-03,-3.8412055E-03
-21.5000E-06,+13.9889448E-03,-3.8412055E-03
-21.0000E-06,+13.9889448E-03,-3.8412055E-03
-20.5000E-06,+13.9889448E-03,-3.8412055E-03
-20.0000E-06,+13.9889448E-03,-3.8412055E-03
-19.5000E-06,+13.9889448E-03,-3.8412055E-03
-19.0000E-06,+13.9889448E-03,-3.8412055E-03
-18.5000E-06,+13.9889448E-03,-3.8412055E-03
-18.0000E-06,+13.9889448E-03,-3.8412055E-03
-17.5000E-06,+13.9889448E-03,-3.8412055E-03
-17.0000E-06,+13.9889448E-03,-3.8412055E-03
-16.5000E-06,+13.9889448E-03,-3.8412055E-03
-16.0000E-06,+13.9889448E-03,-3.7708537E-03
-15.5000E-06,+13.9889448E-03,-3.7708537E-03
-15.0000E-06,+13.9889448E-03,-3.7708537E-03
-14.5000E-06,+13.9889448E-03,-3.7708537E-03
-14.0000E-06,+13.9889448E-03,-3.7708537E-03
-13.5000E-06,+13.9889448E-03,-3.7708537E-03
-13.0000E-06,+13.9889448E-03,-3.7708537E-03
-12.5000E-06,+13.9889448E-03,-3.7708537E-03
-12.0000E-06,+13.9889448E-03,-3.7708537E-03
-11.5000E-06,+13.9889448E-03,-3.7708537E-03
-11.0000E-06,+13.9889448E-03,-3.7708537E-03
-10.5000E-06,+13.9889448E-03,-3.7708537E-03
-10.0000E-06,+13.9889448E-03,-3.7708537E-03
-9.5000E-06,+13.9889448E-03,-3.7708537E-03
-9.0000E-06,+13.9889448E-03,-3.7708537E-03
-8.5000E-06,+13.9889448E-03,-3.7708537E-03
-8.0000E-06,+13.9889448E-03,-3.7708537E-03
-7.5000E-06,+13.9889448E-03,-3.7708537E-03
-7.0000E-06,+13.9889448E-03,-3.7708537E-03
-6.5000E-06,+13.9889448E-03,-3.7708537E-03
-6.0000E-06,+13.9889448E-03,-3.7708537E-03
-5.5000E-06,+13.9889448E-03,-3.7708537E-03
-5.0000E-06,+13.9889448E-03,-3.7708537E-03
-4.5000E-06,+13.9889448E-03,-3.7708537E-03
-4.0000E-06,+13.9889448E-03,-3.7708537E-03
-3.5000E-06,+13.9889448E-03,-3.7708537E-03
-3.0000E-06,+13.9889448E-03,-3.7005020E-03
-2.5000E-06,+13.9889448E-03,-3.7005020E-03
-2.0000E-06,+13.9889448E-03,-3.7005020E-03
