second,Volt1,Volt2
+8.8000E-06,+182.0538925E-03,+272.8581714E-03
+9.0300E-06,+182.0538925E-03,+279.0390758E-03
+9.2600E-06,+182.1493699E-03,+285.0692265E-03
+9.4900E-06,+182.2448473E-03,+290.4963621E-03
+9.7200E-06,+182.3403247E-03,+295.7727440E-03
+9.9500E-06,+182.4358021E-03,+300.5968645E-03
+10.1800E-06,+182.4358021E-03,+305.1194776E-03
+10.4100E-06,+182.5312795E-03,+309.1898293E-03
+10.6400E-06,+182.5312795E-03,+313.2601810E-03
+10.8700E-06,+182.6267568E-03,+316.4260101E-03
+11.1000E-06,+182.7222342E-03,+319.5918392E-03
+11.3300E-06,+182.7222342E-03,+322.1546533E-03
+11.5600E-06,+182.8177116E-03,+324.5667135E-03
+11.7900E-06,+183.0086664E-03,+326.0742512E-03
+12.0200E-06,+183.1041438E-03,+327.5817889E-03
+12.2500E-06,+183.1996212E-03,+328.3355577E-03
+12.4800E-06,+183.2950985E-03,+329.0893266E-03
+12.7100E-06,+183.3905759E-03,+329.3908341E-03
+12.9400E-06,+183.4860533E-03,+329.2400803E-03
+13.1700E-06,+183.5815307E-03,+328.4863115E-03
+13.4000E-06,+183.7724855E-03,+327.8832964E-03
+13.6300E-06,+183.8679629E-03,+326.5265125E-03
+13.8600E-06,+183.9634402E-03,+325.1697286E-03
+14.0900E-06,+183.9634402E-03,+323.0591759E-03
+14.3200E-06,+184.0589176E-03,+320.6471156E-03
+14.5500E-06,+184.0589176E-03,+317.7827940E-03
+14.7800E-06,+184.1543950E-03,+314.7677187E-03
+15.0100E-06,+184.1543950E-03,+311.4511358E-03
+15.2400E-06,+184.2498724E-03,+307.6822916E-03
+15.4700E-06,+184.3453498E-03,+303.7626937E-03
+15.7000E-06,+184.3453498E-03,+299.3908344E-03
+15.9300E-06,+184.4408272E-03,+294.8682214E-03
+16.1600E-06,+184.5363046E-03,+290.1948546E-03
+16.3900E-06,+184.5363046E-03,+285.3707341E-03
+16.6200E-06,+184.6317819E-03,+279.9435984E-03
+16.8500E-06,+184.7272593E-03,+274.3657090E-03
+17.0800E-06,+184.7272593E-03,+268.7878197E-03
+17.3100E-06,+184.8227367E-03,+262.9084227E-03
+17.5400E-06,+184.9182141E-03,+257.0290258E-03
+17.7700E-06,+184.9182141E-03,+250.6973676E-03
+18.0000E-06,+184.9182141E-03,+244.6672169E-03
+18.2300E-06,+185.0136915E-03,+238.0340511E-03
+18.4600E-06,+185.0136915E-03,+231.4008854E-03
+18.6900E-06,+185.0136915E-03,+224.7677196E-03
+18.9200E-06,+185.0136915E-03,+218.1345539E-03
+19.1500E-06,+185.0136915E-03,+211.5013881E-03
+19.3800E-06,+185.0136915E-03,+205.1697299E-03
+19.6100E-06,+185.0136915E-03,+198.2350566E-03
+19.8400E-06,+185.0136915E-03,+191.7526446E-03
+20.0700E-06,+185.0136915E-03,+184.9687251E-03
+20.3000E-06,+185.0136915E-03,+178.3355593E-03
+20.5300E-06,+185.0136915E-03,+172.1546549E-03
+20.7600E-06,+185.1091689E-03,+165.8229966E-03
+20.9900E-06,+185.0136915E-03,+159.6420922E-03
+21.2200E-06,+185.0136915E-03,+153.4611877E-03
+21.4500E-06,+184.9182141E-03,+147.4310370E-03
+21.6800E-06,+184.9182141E-03,+141.4008864E-03
+21.9100E-06,+184.8227367E-03,+135.5214894E-03
+22.1400E-06,+184.8227367E-03,+130.0943538E-03
+22.3700E-06,+184.7272593E-03,+124.6672182E-03
+22.6000E-06,+184.7272593E-03,+119.3908363E-03
+22.8300E-06,+184.6317819E-03,+114.4159620E-03
+23.0600E-06,+184.5363046E-03,+109.8933490E-03
+23.2900E-06,+184.4408272E-03,+105.2199822E-03
+23.5200E-06,+184.4408272E-03,+100.6973692E-03
+23.7500E-06,+184.3453498E-03,+96.9285250E-03
+23.9800E-06,+184.3453498E-03,+93.3104346E-03
+24.2100E-06,+184.2498724E-03,+89.6923442E-03
+24.4400E-06,+184.2498724E-03,+86.5265151E-03
+24.6700E-06,+184.1543950E-03,+83.6621935E-03
+24.9000E-06,+184.0589176E-03,+80.9486257E-03
+25.1300E-06,+184.0589176E-03,+78.8380730E-03
+25.3600E-06,+184.0589176E-03,+76.7275202E-03
+25.5900E-06,+183.9634402E-03,+74.9184750E-03
+25.8200E-06,+183.9634402E-03,+73.4109373E-03
+26.0500E-06,+183.8679629E-03,+72.3556610E-03
+26.2800E-06,+183.7724855E-03,+71.6018921E-03
+26.5100E-06,+183.7724855E-03,+70.8481233E-03
+26.7400E-06,+183.6770081E-03,+70.5466158E-03
+26.9700E-06,+183.5815307E-03,+70.6973695E-03
+27.2000E-06,+183.5815307E-03,+71.1496308E-03
+27.4300E-06,+183.4860533E-03,+71.9033997E-03
+27.6600E-06,+183.3905759E-03,+72.8079223E-03
+27.8900E-06,+183.2950985E-03,+74.1647062E-03
+28.1200E-06,+183.1996212E-03,+75.6722438E-03
+28.3500E-06,+183.1041438E-03,+77.4812890E-03
+28.5800E-06,+183.0086664E-03,+79.4410880E-03
+28.8100E-06,+183.0086664E-03,+81.8531483E-03
+29.0400E-06,+183.0086664E-03,+84.2652086E-03
+29.2700E-06,+182.9131890E-03,+87.1295301E-03
+29.5000E-06,+182.8177116E-03,+90.1446055E-03
+29.7300E-06,+182.8177116E-03,+93.4611884E-03
+29.9600E-06,+182.7222342E-03,+96.7777713E-03
+30.1900E-06,+182.7222342E-03,+100.2451079E-03
+30.4200E-06,+182.7222342E-03,+104.3154596E-03
+30.6500E-06,+182.6267568E-03,+108.3858113E-03
+30.8800E-06,+182.6267568E-03,+112.3054093E-03
+31.1100E-06,+182.6267568E-03,+116.6772685E-03
+31.3400E-06,+182.6267568E-03,+121.3506353E-03
+31.5700E-06,+182.6267568E-03,+125.7224946E-03
+31.8000E-06,+182.6267568E-03,+130.3958613E-03
+32.0300E-06,+182.6267568E-03,+135.0692281E-03
+32.2600E-06,+182.5312795E-03,+140.0441024E-03
+32.4900E-06,+182.5312795E-03,+144.8682230E-03
+32.7200E-06,+182.5312795E-03,+149.8430973E-03
+32.9500E-06,+182.5312795E-03,+154.9687254E-03
+33.1800E-06,+182.5312795E-03,+159.9435997E-03
+33.4100E-06,+182.5312795E-03,+164.7677203E-03
+33.6400E-06,+182.5312795E-03,+169.7425946E-03
+33.8700E-06,+182.5312795E-03,+174.7174689E-03
+34.1000E-06,+182.5312795E-03,+179.3908357E-03
+34.3300E-06,+182.5312795E-03,+184.3657100E-03
+34.5600E-06,+182.5312795E-03,+189.3405843E-03
+34.7900E-06,+182.5312795E-03,+194.1647049E-03
+35.0200E-06,+182.5312795E-03,+198.8380717E-03
+35.2500E-06,+182.6267568E-03,+203.5114384E-03
+35.4800E-06,+182.6267568E-03,+208.1848052E-03
+35.7100E-06,+182.6267568E-03,+212.2551569E-03
+35.9400E-06,+182.6267568E-03,+216.7777700E-03
+36.1700E-06,+182.6267568E-03,+220.8481217E-03
+36.4000E-06,+182.7222342E-03,+224.9184734E-03
+36.6300E-06,+182.7222342E-03,+228.6873176E-03
+36.8600E-06,+182.7222342E-03,+232.6069155E-03
+37.0900E-06,+182.8177116E-03,+236.3757597E-03
+37.3200E-06,+182.8177116E-03,+239.5415888E-03
+37.5500E-06,+182.9131890E-03,+242.7074179E-03
+37.7800E-06,+182.9131890E-03,+245.8732470E-03
+38.0100E-06,+183.0086664E-03,+248.4360611E-03
+38.2400E-06,+183.0086664E-03,+251.1496289E-03
+38.4700E-06,+183.1041438E-03,+253.5616892E-03
+38.7000E-06,+183.1041438E-03,+255.6722419E-03
+38.9300E-06,+183.1996212E-03,+257.7827947E-03
+39.1600E-06,+183.2950985E-03,+259.5918399E-03
+39.3900E-06,+183.3905759E-03,+260.7978700E-03
+39.6200E-06,+183.3905759E-03,+262.1546539E-03
+39.8500E-06,+183.4860533E-03,+263.2099303E-03
+40.0800E-06,+183.5815307E-03,+264.1144529E-03
+40.3100E-06,+183.5815307E-03,+264.7174679E-03
+40.5400E-06,+183.6770081E-03,+265.1697292E-03
+40.7700E-06,+183.6770081E-03,+265.3204830E-03
+41.0000E-06,+183.7724855E-03,+265.3204830E-03
+41.2300E-06,+183.7724855E-03,+265.0189755E-03
+41.4600E-06,+183.8679629E-03,+264.4159604E-03
+41.6900E-06,+183.8679629E-03,+263.5114378E-03
+41.9200E-06,+183.9634402E-03,+262.7576690E-03
+42.1500E-06,+183.9634402E-03,+261.5516388E-03
+42.3800E-06,+183.9634402E-03,+260.3456087E-03
+42.6100E-06,+184.0589176E-03,+258.8380710E-03
+42.8400E-06,+184.0589176E-03,+257.1797796E-03
+43.0700E-06,+184.0589176E-03,+255.3707344E-03
+43.3000E-06,+184.1543950E-03,+253.1094279E-03
+43.5300E-06,+184.1543950E-03,+250.8481214E-03
+43.7600E-06,+184.2498724E-03,+248.4360611E-03
+43.9900E-06,+184.2498724E-03,+246.0240008E-03
+44.2200E-06,+184.2498724E-03,+243.3104330E-03
+44.4500E-06,+184.2498724E-03,+240.2953577E-03
+44.6800E-06,+184.3453498E-03,+237.5817898E-03
+44.9100E-06,+184.3453498E-03,+234.4159607E-03
+45.1400E-06,+184.3453498E-03,+230.9486241E-03
+45.3700E-06,+184.3453498E-03,+227.6320412E-03
+45.6000E-06,+184.3453498E-03,+224.1647046E-03
+45.8300E-06,+184.4408272E-03,+220.6973679E-03
+46.0600E-06,+184.4408272E-03,+217.2300313E-03
+46.2900E-06,+184.4408272E-03,+213.6119409E-03
+46.5200E-06,+184.4408272E-03,+209.9938504E-03
+46.7500E-06,+184.4408272E-03,+206.5265138E-03
+46.9800E-06,+184.4408272E-03,+202.6069158E-03
+47.2100E-06,+184.4408272E-03,+198.8380717E-03
+47.4400E-06,+184.4408272E-03,+195.2199813E-03
+47.6700E-06,+184.4408272E-03,+191.6018908E-03
+47.9000E-06,+184.4408272E-03,+187.5315391E-03
+48.1300E-06,+184.4408272E-03,+183.9134487E-03
+48.3600E-06,+184.4408272E-03,+180.1446045E-03
+48.5900E-06,+184.4408272E-03,+176.3757603E-03
+48.8200E-06,+184.4408272E-03,+173.0591775E-03
+49.0500E-06,+184.4408272E-03,+169.5918408E-03
+49.2800E-06,+184.4408272E-03,+166.1245042E-03
+49.5100E-06,+184.4408272E-03,+162.8079213E-03
+49.7400E-06,+184.4408272E-03,+159.4913384E-03
+49.9700E-06,+184.4408272E-03,+156.3255093E-03
+50.2000E-06,+184.3453498E-03,+153.1596802E-03
+50.4300E-06,+184.3453498E-03,+150.1446048E-03
+50.6600E-06,+184.2498724E-03,+147.1295295E-03
+50.8900E-06,+184.2498724E-03,+144.4159617E-03
+51.1200E-06,+184.2498724E-03,+141.7023939E-03
+51.3500E-06,+184.2498724E-03,+139.1395798E-03
+51.5800E-06,+184.1543950E-03,+136.5767658E-03
+51.8100E-06,+184.1543950E-03,+134.4662131E-03
+52.0400E-06,+184.1543950E-03,+132.3556603E-03
+52.2700E-06,+184.1543950E-03,+130.2451076E-03
+52.5000E-06,+184.1543950E-03,+128.4360624E-03
+52.7300E-06,+184.0589176E-03,+126.9285247E-03
+52.9600E-06,+184.0589176E-03,+125.4209870E-03
+53.1900E-06,+184.0589176E-03,+124.2149569E-03
+53.4200E-06,+184.0589176E-03,+123.1596805E-03
+53.6500E-06,+183.9634402E-03,+122.1044041E-03
+53.8800E-06,+183.9634402E-03,+121.0491278E-03
+54.1100E-06,+183.9634402E-03,+120.5968665E-03
+54.3400E-06,+183.8679629E-03,+120.1446052E-03
+54.5700E-06,+183.8679629E-03,+119.6923439E-03
+54.8000E-06,+183.8679629E-03,+119.5415901E-03
+55.0300E-06,+183.7724855E-03,+119.6923439E-03
+55.2600E-06,+183.7724855E-03,+119.8430976E-03
+55.4900E-06,+183.7724855E-03,+120.2953589E-03
+55.7200E-06,+183.6770081E-03,+120.7476202E-03
+55.9500E-06,+183.6770081E-03,+121.5013891E-03
+56.1800E-06,+183.5815307E-03,+122.4059117E-03
+56.4100E-06,+183.5815307E-03,+123.3104343E-03
+56.6400E-06,+183.4860533E-03,+124.6672182E-03
+56.8700E-06,+183.4860533E-03,+125.7224946E-03
