second,Volt1,Volt2
-50.00000E-03,-191.15523E-03,-2.02512598E+00
-49.95000E-03,-191.15523E-03,-1.82412095E+00
-49.90000E-03,-191.15523E-03,-1.22110587E+00
-49.85000E-03,-593.16528E-03,-1.42211090E+00
-49.80000E-03,-191.15523E-03,-1.22110587E+00
-49.75000E-03,-90.65271E-03,-1.42211090E+00
-49.70000E-03,-392.16025E-03,-1.62311593E+00
-49.65000E-03,+9.84980E-03,-2.02512598E+00
-49.60000E-03,-191.15523E-03,-2.02512598E+00
-49.55000E-03,-191.15523E-03,-1.82412095E+00
-49.50000E-03,-392.16025E-03,-2.02512598E+00
-49.45000E-03,-291.65774E-03,-2.02512598E+00
-49.40000E-03,-191.15523E-03,-2.02512598E+00
-49.35000E-03,-492.66277E-03,-1.42211090E+00
-49.30000E-03,-392.16025E-03,-2.02512598E+00
-49.25000E-03,-191.15523E-03,-1.42211090E+00
-49.20000E-03,-593.16528E-03,-2.02512598E+00
-49.15000E-03,-191.15523E-03,-1.02010085E+00
-49.10000E-03,-191.15523E-03,-1.62311593E+00
-49.05000E-03,-90.65271E-03,-2.02512598E+00
-49.00000E-03,-593.16528E-03,-2.02512598E+00
-48.95000E-03,-191.15523E-03,-2.02512598E+00
-48.90000E-03,-392.16025E-03,-2.42713603E+00
-48.85000E-03,+110.35232E-03,-2.62814106E+00
-48.80000E-03,-191.15523E-03,-1.22110587E+00
-48.75000E-03,-492.66277E-03,-2.02512598E+00
-48.70000E-03,-392.16025E-03,-1.22110587E+00
-48.65000E-03,-291.65774E-03,-2.02512598E+00
-48.60000E-03,-593.16528E-03,-2.02512598E+00
-48.55000E-03,-492.66277E-03,-1.42211090E+00
-48.50000E-03,-392.16025E-03,-1.22110587E+00
-48.45000E-03,-191.15523E-03,-1.42211090E+00
-48.40000E-03,-593.16528E-03,-2.02512598E+00
-48.35000E-03,-291.65774E-03,-1.42211090E+00
-48.30000E-03,+9.84980E-03,-1.62311593E+00
-48.25000E-03,-191.15523E-03,-1.42211090E+00
-48.20000E-03,-191.15523E-03,-2.02512598E+00
-48.15000E-03,-593.16528E-03,-2.02512598E+00
-48.10000E-03,-191.15523E-03,-1.62311593E+00
-48.05000E-03,-191.15523E-03,-1.22110587E+00
-48.00000E-03,-593.16528E-03,-1.22110587E+00
-47.95000E-03,-191.15523E-03,-1.02010085E+00
-47.90000E-03,+9.84980E-03,-2.02512598E+00
-47.85000E-03,-593.16528E-03,-1.22110587E+00
-47.80000E-03,-191.15523E-03,-2.02512598E+00
-47.75000E-03,-492.66277E-03,-1.82412095E+00
-47.70000E-03,+9.84980E-03,-1.62311593E+00
-47.65000E-03,-90.65271E-03,-1.42211090E+00
-47.60000E-03,-191.15523E-03,-2.02512598E+00
-47.55000E-03,-191.15523E-03,-1.22110587E+00
-47.50000E-03,+9.84980E-03,-2.02512598E+00
-47.45000E-03,-794.17031E-03,-1.82412095E+00
-47.40000E-03,-191.15523E-03,-2.02512598E+00
-47.35000E-03,-191.15523E-03,-2.22613101E+00
-47.30000E-03,-191.15523E-03,-2.02512598E+00
-47.25000E-03,-191.15523E-03,-2.02512598E+00
-47.20000E-03,-191.15523E-03,-2.02512598E+00
-47.15000E-03,-191.15523E-03,-1.42211090E+00
-47.10000E-03,-392.16025E-03,-1.62311593E+00
-47.05000E-03,-191.15523E-03,-2.02512598E+00
-47.00000E-03,-593.16528E-03,-1.22110587E+00
-46.95000E-03,-90.65271E-03,-1.22110587E+00
-46.90000E-03,-392.16025E-03,-2.42713603E+00
-46.85000E-03,+110.35232E-03,-2.62814106E+00
-46.80000E-03,-593.16528E-03,-1.22110587E+00
-46.75000E-03,-90.65271E-03,-1.42211090E+00
-46.70000E-03,-191.15523E-03,-2.42713603E+00
-46.65000E-03,-90.65271E-03,-1.82412095E+00
-46.60000E-03,+210.85483E-03,-2.02512598E+00
-46.55000E-03,-191.15523E-03,-2.22613101E+00
-46.50000E-03,+9.84980E-03,-1.62311593E+00
-46.45000E-03,-191.15523E-03,-1.42211090E+00
-46.40000E-03,-191.15523E-03,-2.02512598E+00
-46.35000E-03,-492.66277E-03,-1.82412095E+00
-46.30000E-03,-191.15523E-03,-1.62311593E+00
-46.25000E-03,-191.15523E-03,-2.02512598E+00
-46.20000E-03,-593.16528E-03,-1.22110587E+00
-46.15000E-03,-492.66277E-03,-2.22613101E+00
-46.10000E-03,+9.84980E-03,-1.62311593E+00
-46.05000E-03,-191.15523E-03,-2.02512598E+00
-46.00000E-03,-191.15523E-03,-2.02512598E+00
-45.95000E-03,-90.65271E-03,-2.42713603E+00
-45.90000E-03,+210.85483E-03,-1.62311593E+00
-45.85000E-03,+210.85483E-03,-2.22613101E+00
-45.80000E-03,-191.15523E-03,-2.02512598E+00
-45.75000E-03,-90.65271E-03,-1.42211090E+00
-45.70000E-03,-392.16025E-03,-2.02512598E+00
-45.65000E-03,-90.65271E-03,-1.42211090E+00
-45.60000E-03,+210.85483E-03,-1.22110587E+00
-45.55000E-03,-191.15523E-03,-1.82412095E+00
-45.50000E-03,-191.15523E-03,-1.62311593E+00
-45.45000E-03,-291.65774E-03,-2.02512598E+00
-45.40000E-03,-191.15523E-03,-2.02512598E+00
-45.35000E-03,-191.15523E-03,-1.22110587E+00
-45.30000E-03,+9.84980E-03,-1.62311593E+00
-45.25000E-03,+110.35232E-03,-1.82412095E+00
-45.20000E-03,+210.85483E-03,-1.22110587E+00
-45.15000E-03,-191.15523E-03,-1.82412095E+00
-45.10000E-03,-392.16025E-03,-1.62311593E+00
-45.05000E-03,-191.15523E-03,-1.82412095E+00
-45.00000E-03,+210.85483E-03,-2.02512598E+00
