second	Volt1	Volt2	clean	background	clean-back	dR/dN
-3.84E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.84E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.83E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.83E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.82E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.82E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.81E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.81E-02	1.94E+00	-2.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.80E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.80E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.79E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.79E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.78E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.78E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.77E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.77E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.76E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.76E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.75E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.75E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.74E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.74E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.73E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.73E-02	1.94E+00	-2.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.72E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.72E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.71E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.71E-02	1.94E+00	-2.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.70E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.70E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
