second,Volt1,Volt2
-50.00000E-03,+12.53919579E+00,+1.80150738E+00
-49.95000E-03,+13.72110533E+00,+3.51005011E+00
-49.90000E-03,+13.72110533E+00,+6.42462300E+00
-49.85000E-03,+13.72110533E+00,+8.63567829E+00
-49.80000E-03,+13.72110533E+00,+8.63567829E+00
-49.75000E-03,+13.72110533E+00,+9.03768834E+00
-49.70000E-03,+13.72110533E+00,+9.03768834E+00
-49.65000E-03,+13.72110533E+00,+9.33919588E+00
-49.60000E-03,+13.72110533E+00,+9.84170845E+00
-49.55000E-03,+13.72110533E+00,+11.14824113E+00
-49.50000E-03,+13.72110533E+00,+13.45979893E+00
-49.45000E-03,+13.72110533E+00,+15.06783915E+00
-49.40000E-03,+13.72110533E+00,+15.46984920E+00
-49.35000E-03,+13.72110533E+00,+14.36432155E+00
-49.30000E-03,+13.72110533E+00,+14.46482407E+00
-49.25000E-03,+13.72110533E+00,+14.66582909E+00
-49.20000E-03,+13.72110533E+00,+14.66582909E+00
-49.15000E-03,+13.72110533E+00,+15.46984920E+00
-49.10000E-03,+13.72110533E+00,+16.47487433E+00
-49.05000E-03,+13.72110533E+00,+17.78140701E+00
-49.00000E-03,+13.72110533E+00,+19.08793968E+00
-48.95000E-03,+13.72110533E+00,+21.09798995E+00
-48.90000E-03,+13.72110533E+00,+21.90201005E+00
-48.85000E-03,+13.72110533E+00,+22.70603016E+00
-48.80000E-03,+13.72110533E+00,+23.10804021E+00
-48.75000E-03,+13.72110533E+00,+23.20854273E+00
-48.70000E-03,+13.72110533E+00,+22.90703519E+00
-48.65000E-03,+13.72110533E+00,+22.70603016E+00
-48.60000E-03,+13.72110533E+00,+22.70603016E+00
-48.55000E-03,+13.72110533E+00,+23.10804021E+00
-48.50000E-03,+13.72110533E+00,+23.71105529E+00
-48.45000E-03,+13.72110533E+00,+25.01758797E+00
-48.40000E-03,+13.72110533E+00,+26.32412064E+00
-48.35000E-03,+13.72110533E+00,+28.03266337E+00
-48.30000E-03,+13.72110533E+00,+29.54020107E+00
-48.25000E-03,+13.72110533E+00,+31.55025133E+00
-48.20000E-03,+13.72110533E+00,+33.15829155E+00
-48.15000E-03,+13.72110533E+00,+34.46482422E+00
-48.10000E-03,+13.72110533E+00,+35.77135690E+00
-48.05000E-03,+13.72110533E+00,+36.37437198E+00
-48.00000E-03,+13.72110533E+00,+37.17839208E+00
-47.95000E-03,+13.72110533E+00,+37.98241219E+00
-47.90000E-03,+13.72110533E+00,+38.58542727E+00
-47.85000E-03,+13.72110533E+00,+38.58542727E+00
-47.80000E-03,+13.72110533E+00,+39.99246246E+00
