V (V),dV (V),I (mA),dI (mA)
-0.143,0.001,0.0058,0.0001
-5.307,0.001,-0.0006,0.0001
-10.174,0.001,-0.0011,0.0001
-14.977,0.002,-0.0015,0.0001
-19.966,0.001,-0.0022,0.0001
-25.303,0.001,-0.0028,0.0002
-29.955,0.005,-0.0033,0.0001
-34.508,0.001,-0.0039,0.0001
-39.722,0.001,-0.0044,0.0001
-44.62,0.001,-0.005,0.0002
-50.176,0.001,-0.0055,0.0001
